Bug编号,所属产品,所属模块,所属项目,Bug标题,严重程度,优先级,Bug类型,重现步骤,Bug状态
12,crm系统(#2),/客户管理(#15),,验证关键字输入正确能否查出对应结果,3,3,代码错误,"[前置条件]
超级管理员身份
登录客户关系管理系统[步骤]1. 点击[客户管理]
2. 点击[客户移交记录]
3. 关键字输入:客户5
4. 点击[查询]
[结果]1. 无法查询出对应结果
[期望]1. 成功进入
2. 成功进入
3. 成功输入
4. 查询出对应结果
",激活
11,crm系统(#2),/营销管理(#14),,验证删除客户信息是否成功,3,3,代码错误,"[前置条件]
超级管理员身份
登录客户关系管理系统[步骤]1. 点击[营销管理]
2. 点击[潜在客户管理]
3. 点击[删除]
4. 点击[确定]
[结果]1. 无法成功删除
[期望]1. 成功进入
2. 成功进入
3. 出现提示框是否确认删除
4. 成功删除,已删除信息不存在
",激活
10,crm系统(#2),/营销管理(#14),,验证关键字输入正确能否查出所有结果,3,3,代码错误,"[前置条件]
超级管理员身份
登录客户关系管理系统[步骤]1. 点击[营销管理]
2. 点击[潜在客户管理]
3. 关键字输入:客户3
4. 点击[查询
[结果]1. 无法查询出对应结果
[期望]1. 成功进入
2. 成功进入
3. 成功输入
4. 查询出对应结果
",激活
9,crm系统(#2),/营销管理(#14),,验证高级搜索选择相应条件能否查询出对应的客户信息,3,3,代码错误,"[前置条件]
超级管理员身份
登录客户关系管理系统[步骤]1. 点击[营销管理]
2. 点击[潜在客户管理]
3. 点击[高级搜索]
4. 选择创建人:下拉选择
5. 点击[确认]
[结果]1. 无法查询出对应结果
[期望]1. 成功进入
2. 成功进入
3. 成功输入
4. 成功选择
5. 查询出对应结果
",激活
8,crm系统(#2),/营销管理(#14),,验证点击添加页面是否显示正确,3,3,代码错误,"[前置条件]
超级管理员身份
登录客户关系管理系统[步骤]1. 点击[营销管理]
2. 点击[客户开发计划管理]
3. 点击[添加]
[结果]1. 添加客户开发计划表单写成添加潜在客户
[期望]1. 成功进入
2. 成功进入
3. 成功进入,页面显示正确
",激活
7,crm系统(#2),/营销管理(#14),,验证不填必填项只填选填项添加是否成功,3,3,代码错误,"[前置条件]
超级管理员身份
登录客户关系管理系统[步骤]1. 点击[营销管理]
2. 点击[客户开发计划管理]
3. 点击[添加]
4. 输入信息
创建人:空
计划实施方式:空
潜在客户:空
计划主题:空
计划时间:2020-02-20
计划内容:空
5. 点击[保存]
[结果]1. 添加成功
[期望]1. 成功进入
2. 成功进入
3. 成功进入
4. 成功输入
5. 添加失败
",激活
6,crm系统(#2),/订单合同管理(#13),,验证关键字输入正确能否查出所有结果,3,3,代码错误,"[前置条件]
超级管理员身份
登录客户关系管理系统[步骤]1. 点击[营销管理]
2. 点击[客户开发计划管理]
3. 关键字输入:客户6
4. 点击[查询]
[结果]1. 无法查出存在的客户信息
[期望]1. 成功进入
2. 成功进入
3. 成功输入
4. 查询出对应结果
",激活
5,crm系统(#2),/订单合同管理(#13),,验证点击添加页面是否显示正确,3,3,代码错误,"[前置条件]
超级管理员身份
登录客户关系管理系统[步骤]1. 点击[订单合同管理]
2. 点击[订单管理]
3. 点击[添加]
[结果]1. 添加合同表单标题为添加部门
[期望]1. 成功进入
2. 成功进入
3. 成功进入,,页面显示正确
",激活
4,crm系统(#2),/订单合同管理(#13),,验证点击添加页面是否显示正确,3,3,代码错误,"[前置条件]
超级管理员身份
登录客户关系管理系统[步骤]1. 点击[订单合同管理]
2. 点击[合同管理]
3. 点击[添加]
[结果]1. 表单标题写成了添加部门
[期望]1. 成功进入
2. 成功进入
3. 成功进入,页面显示正确
",激活
3,crm系统(#2),/订单合同管理(#13),,验证不填必填项只填选填项添加是否成功,3,3,代码错误,"
	[前置条件]

超级管理员身份
登录客户关系管理系统

	[步骤]

1. 点击[订单合同管理]

2. 点击[合同管理]

3. 点击[添加]

4. 输入信息
签订时间:空
合同金额:10000
摘要:预付
合同客户:下拉选择
营销人员:下拉选择

5. 点击[新增明细]

6. 输入信息
支付金额:1000
金额所占百分比:10
是否支付:下拉选择
支付时间:下拉选择

	[结果]

1. 金额所占百分比无法输入

	[期望]

1. 成功进入

2. 成功进入

3. 成功进入

4. 成功输入

	5. 成功新增


	6.成功输入
",激活
